page_id__geo	page_id_pag	page_title	page_namespace	page_len	last_edit_timestamp	geo_tag_id	gt_primary	gt_lat	gt_lon	gt_country	gt_region	gt_globe	first_edit_timestamp	edits	minor_edits	language
177023	177023	Cutty_Sark	0	58955	20170503084119	276437386	1	51.48277778	-0.00972222	GB		earth	20030131045053	956	398	en
3183340	3183340	HMS_Wellington_(U65)	0	7592	20170122032912	276437417	1	51.51055556	-0.11250000	GB		earth	20051117134102	60	28	en
1432927	1432927	Burlington_Arcade	0	4602	20170328011720	276437529	1	51.50900000	-0.14030000	GB		earth	20050126072144	79	37	en
43259380	43259380	Golden_Lane,_London	0	1074	20170510235809	276437859	1	51.52360000	-0.09597000			earth	20140709235122	14	4	en
913601	913601	Golden_Mile_(Brentford)	0	9260	20170510235937	276437873	1	51.48530000	-0.32080000	GB	HNS	earth	20040820012711	63	65	en
34527533	34527533	Goldhawk_Road	0	5155	20170511000237	276437904	1	51.50200000	-0.22700000	GB	HMF	earth	20120128193907	28	10	en
9599004	9599004	Battle_of_Brentford_(1642)	0	8124	20170318001611	276437955	1	51.47833333	-0.30944444	GB		earth	20051129134324	62	29	en
15695442	15695442	Honor_Oak_railway_station	0	3710	20170511000947	276438654	1	51.44980000	-0.05860000	GB		earth	20080211015330	31	9	en
239680	239680	London_City_Airport	0	45130	20170511001346	276438761	1	51.50527778	0.05527778	GB	NEW	earth	20030604003956	1956	411	en
2099371	2099371	Dalston_Junction_railway_station	0	12949	20170403161501	276438838	1	51.54539000	-0.07474000	GB		earth	20050623105923	314	95	en
2266292	2266292	Heathrow_Central_railway_station	0	4247	20170429154308	276438882	1	51.47100000	-0.45400000	GB		earth	20050719154849	132	42	en
606261	606261	Curtain_Theatre	0	17080	20170422170204	276439074	1	51.52305556	-0.07972222	GB	HCK	earth	20040419163522	118	60	en
1827978	1827978	Putney_(UK_Parliament_constituency)	0	47461	20170511001312	276439171	1	51.45400000	-0.22400000	GB	WND	earth	20050502011543	204	55	en
401353	401353	The_Theatre	0	17297	20170403105408	276439534	1	51.52458333	-0.08000000	GB	HCK	earth	20031214164436	197	81	en
2116548	2116548	Shakespeare's_Globe	0	20453	20170508094248	276439820	1	51.50805556	-0.09722222	GB		earth	20050626022903	614	278	en
1440690	1440690	Soho_Square	0	9597	20170225194624	276441025	1	51.51527778	-0.13222222	GB		earth	20050128092810	152	50	en
37994011	37994011	Criterion_Restaurant	0	22071	20161211094854	276441039	1	51.51000000	-0.13416667	GB	WSM	earth	20121221183033	437	15	en
2334790	2334790	Hammersmith_(Grove_Road)_railway_station	0	8167	20170416145851	276441227	1	51.49444444	-0.22583333	GB		earth	20050729160417	70	36	en
